social_security_number,bank_account_number,debt,apr_rate,loanLength
411-73-9801,16615412138072,200,4.967,5
155-28-9420,9973249371111,327,4.765,5
559-13-3786,9880217631528,581,4.826,5
551-86-5512,247777348135,708,5.204,5
127-79-1113,48448159509,835,4.967,5
752-80-3651,48689204742,1089,4.62,5
350-49-1217,1170493595045,1216,4.826,5
818-60-8252,33546354117,1343,5.204,5
158-32-9880,45987570,1470,4.967,5
824-53-1871,52464955402,1597,4.765,5
773-02-1928,93886,1724,4.62,5
577-13-4915,72192785217,1978,5.204,5
756-83-3491,3088582879895,2105,4.967,5
076-90-0469,809957294689,2232,4.765,5
626-52-3252,23496149305,2359,4.62,5
308-80-4131,6437356123840,2486,4.826,5
183-84-6548,75146257,2867,4.765,5
825-42-7658,91920409838,2994,4.62,5
521-70-3849,376368620043,3121,4.826,5
561-67-6442,3910989436131,3248,5.204,5
789-42-6087,53793653947,3375,4.967,5
748-81-8463,8690530005716,3502,4.765,5
697-65-5767,910912699,3629,4.62,5
306-47-3681,61651213245060,3756,4.826,5
670-19-7263,1121460603279,3883,5.204,5
074-58-1025,4098066,4010,4.967,5
653-84-8820,8953209929247865,4137,4.765,5
412-70-5055,346734250,4264,4.62,5
782-04-4643,617075835538702,4518,5.204,5
796-47-0501,1475268274464,4645,4.967,5
848-15-4758,479809563336,4772,4.765,5
355-47-9619,1035583,4899,4.62,5
883-51-3036,74757005918,5026,4.826,5
883-57-4844,1243749148808,5153,5.204,5
255-52-1709,848960332301,5915,4.967,5
821-13-5148,81713582300,6042,4.765,5
877-19-2366,2941098993,6169,4.62,5
680-38-9055,963591590500987,6296,4.826,5
550-91-2833,804969790,6550,4.967,5
502-06-5605,14044819569406,6804,4.62,5
736-26-2319,6552783890026,6931,4.826,5
365-38-9912,2957961408,7185,4.967,5
758-77-7981,3946598561931,7312,4.765,5
743-03-7057,61136353381464,7439,4.62,5
175-26-6562,5754992351,7566,4.826,5
818-14-7817,3404120585032335,7820,4.967,5
865-75-4944,7880699800,7947,4.765,5
680-33-6283,5277168142,8074,4.62,5
624-84-5683,1757637940425,8201,4.826,5
710-86-3808,260235998,8455,4.967,5
711-19-2756,48779486340477,8582,4.765,5
709-11-9719,789833071118,8709,4.62,5
086-42-7081,3968267624,8836,4.826,5
371-95-0379,842689527168,8963,5.204,5
053-26-6732,40247133,9090,4.967,5
672-39-9717,6258852232041,9217,4.765,5
236-19-3877,2353438087943,9344,4.62,5
807-93-3836,60504342,9471,4.826,5
277-29-2791,34170115202,9598,5.204,5
792-83-4557,401929381204,9725,4.967,5
225-44-6031,3466176487583,10487,4.765,5
607-04-7101,469012967,10614,4.62,5
888-58-6562,419109752,10741,4.826,5
407-74-1724,57969247,10868,5.204,5
805-33-3672,124051511546,10995,4.967,5
767-13-9675,6553199121214,11122,4.765,5
879-93-3476,88135140195,11249,4.62,5
658-51-7593,45395211,11503,5.204,5
566-27-7032,7323021281,12011,4.826,5
805-40-3721,12154340,12138,5.204,5
893-99-6990,273547175,12265,4.967,5
212-89-4537,780765221,12392,4.765,5
